# SYNTHETIC DATA — UMiKT-GAT Ablation Results
variant,variant_display,brier_score,data_note,ece,mastery_accuracy,mastery_auc,mastery_rmse,mc_accuracy,mc_f1_macro,mean_predictive_variance,retention_mae,retention_rmse,training_time_sec
mastery_only,Mastery-Only Baseline,,synthetic,,0.5,0.637120761451517,0.089501278573917,,,,,,48.14
+temporal,+Temporal (GRU),,synthetic,,0.5,0.5443188578227245,0.09361068072713963,,,,,,26.42
+graph,+Graph (GAT),,synthetic,,0.5,0.6579417013682333,0.08628172872271417,,,,,,219.44
+misconception,+Misconception Head,,synthetic,,0.5,0.5383700178465199,0.08997292060267995,0.8292682926829268,0.22666666666666666,,,,152.63
+uncertainty,+Uncertainty (MC-Dropout),,synthetic,,0.5,0.578227245687091,0.09716687135721223,0.8292682926829268,0.22666666666666666,,0.0615613930290792,0.08685447713962181,195.95
full_umikt_gat,Full UMiKT-GAT,0.41191388368348414,synthetic,0.4087373027350844,0.5,0.594883997620464,0.10049109663288369,0.8292682926829268,0.22666666666666666,0.001211422830238007,0.0615613930290792,0.08685447713962181,194.74
